ERROR CODE,ERROR DESCRIPTION,ROUTE,SHOW ON OUTPUT
100,INVALID RECORD TYPE,Yes,Yes
101,AAA RECORD MISSING FROM TRANSACTION,Yes,Yes
102,MISSING / INVALID SUBMITTER-ID ON AAA RECORD,Yes,Yes
103,MISSING FILE-ID ON AAA RECORD,Yes,Yes
104,MISSING / INVALID TRANSACTION DATE ON AAA RECORD,Yes,Yes
105,MISSING / INVALID PROD-TEST-OPMT-INDICATOR ON AAA RECORD,Yes,Yes
106,MISSING / INVALID FILE-DIAG-INDICATOR ON AAA RECORD,Yes,Yes
107,SUBMITTER ID IS NOT VALIDATED TO SEND PRODUCTION DATA,Yes,Yes
109,ICD10 FILES NOT ACCEPTED AT THIS TIME,Yes,Yes
112,SUBMITTER ID NOT ON FILE,Yes,Yes
1132,FILE NAME DUPLICATES ANOTHER FILE ACCEPTED WITHIN LAST 12 MONTHS,Yes,Yes
114,TRANSACTION DATE IS GREATER THAN CURRENT DATE,Yes,Yes
151,ZZZ RECORD MISSING FROM TRANSACTION,Yes,Yes
152,MISSING / INVALID SUBMITTER-ID ON ZZZ RECORD,Yes,Yes
153,MISSING / INVALID FILE-ID ON ZZZ RECORD,Yes,Yes
154,MISSING / INVALID BBB-RECORD-TOTAL,POTATO,Yes
162,ZZZ SUBMITTER-ID DOES NOT MATCH SUBMITTER-ID ON AAA RECORD,Yes,Yes
163,FILE ID DOES NOT MATCH FILE ID ON AAA RECORD,Yes,Yes
164,ZZZ VALUE IS NOT EQUAL TO THE NUMBER OF BBB RECORDS,Yes,Yes
165,FERAS/RAPS EDI AGREEMENT NOT ON FILE,Yes,Yes
166,TEST FILES CANNOT EXCEED 3000 CCC RECORDS,Yes,Yes
177,PROD FILE CANNOT EXCEED 1000000 RECORDS,Yes,Yes
201,BBB RECORD MISSING FROM TRANSACTION,Yes,Yes
202,MISSING / INVALID SEQUENCE NUMBER ON BBB RECORD,Yes,Yes
203,MISSING / INVALID PLAN NUMBER ON BBB RECORD,Yes,Yes
212,SEQUENCE NUMBER ON BBB RECORD IS OUT OF SEQUENCE,Yes,Yes
213,SUBMITTER ID NOT AUTHORIZED TO SUBMIT FOR THIS PLAN ID,Yes,Yes
214,CONTRACT ENROLLMENT DATE NOT ON FILE,Yes,Yes
215,OVERPAYMENT-ID IS NOT GREATER THAN SPACES FOR OPMT FILE,Yes,Yes
216,PAYMENT-YEAR IS NOT GREATER THAN SPACES FOR OPMT FILE,Yes,Yes
217,OVERPAYMENT-ID MUST BE SPACES FOR NON OPMT FILE,Yes,Yes
218,PAYMENT-YEAR MUST BE SPACES FOR NON OPMT FILE,Yes,Yes
227,ICD9/ICD10 FILE TYPE IN HEADER DOES NOT MATCH TYPE DIAGNOSIS CODE ENTERED IN DETAIL RECORD,Yes,Yes
251,YYY RECORD MISSING FROM TRANSACTION,Yes,Yes
252,MISSING / INVALID SEQUENCE NUMBER ON YYY RECORD,Yes,Yes
253,MISSING / INVALID PLAN NUMBER ON YYY RECORD,Yes,Yes
254,MISSING / INVALID DETAIL-RECORD-TOTAL,Yes,Yes
262,LAST YYY SEQUENCE NUMBER IS NOT EQUAL TO NUMBER OF YYY RECORDS,Yes,Yes
263,PLAN NUMBER DOES NOT MATCH PLAN NUMBER IN BBB RECORD,Yes,Yes
264,YYY VALUE IS NOT EQUAL TO THE NUMBER OF DETAIL RECORDS,Yes,Yes
272,SEQUENCE NUMBER ON YYY RECORD IS OUT OF SEQUENCE,Yes,Yes
301,DETAIL RECORD MISSING FROM TRANSACTION,Yes,Yes
302,MISSING / INVALID SEQUENCE NUMBER ON DETAIL RECORD,Yes,Yes
303,SEQUENCE-ERROR-CODE FILLER NOT EQUAL TO SPACES,Yes,Yes
304,HIC-ERROR-CODE FILLER NOT EQUAL TO SPACES,Yes,Yes
305,DOB-ERROR-CODE FILLER NOT EQUAL TO SPACES,Yes,Yes
306,DIAGNOSIS CODE FILLER NOT EQUAL TO SPACES,Yes,Yes
307,DIAGNOSIS-CLUSTER-ERROR-1 NOT EQUAL TO SPACES,Yes,Yes
308,DIAGNOSIS-CLUSTER-ERROR-2 NOT EQUAL TO SPACES,Yes,Yes
309,SEQUENCE-NUMBER ON DETAIL RECORD IS OUT OF SEQUENCE,Yes,Yes
310,MISSING / INVALID HIC-NO ON DETAIL RECORD,Yes,Yes
311,AT LEAST ONE DIAGNOSIS CLUSTER REQUIRED ON TRANSACTION,Yes,Yes
313,"DELETE-INDICATOR MUST BE EQUAL TO A SPACE OR ""D"" FOR DELETE",Yes,Yes
314,INVALID DIAGNOSIS CODE FORMAT ON DETAIL RECORD,Yes,Yes
