G0129,Partial hosp prog service
G0151,"Hhcp-serv of pt,ea 15 min"
G0152,"Hhcp-serv of ot,ea 15 min"
G0153,"Hhcp-svs of s/l path,ea 15mn"
G0155,"Hhcp-svs of csw,ea 15 min"
G0159,Hhc pt maint ea 15 min
G0160,Hhc occup therapy ea 15
G0161,Hhc slp ea 15 min
G0186,"Dstry eye lesn,fdr vssl tech"
G0245,Initial foot exam pt lops
G0246,Followup eval of foot pt lop
G0248,Demonstrate use home inr mon
G0249,Provide inr test mater/equip
G0250,Md inr test revie inter mgmt
G0257,Unsched dialysis esrd pt hos
G0259,Inject for sacroiliac joint
G0260,Inj for sacroiliac jt anesth
G0268,Removal of impacted wax md
G0276,Pild/placebo control clin tr
G0339,"Robot lin-radsurg com, first"
G0340,Robt lin-radsurg fractx 2-5
G0341,Percutaneous islet celltrans
G0342,Laparoscopy islet cell trans
G0343,Laparotomy islet cell transp
G0378,Hospital observation per hr
G0379,Direct refer hospital observ
G0380,Lev 1 hosp type b ed visit
G0381,Lev 2 hosp type b ed visit
G0382,Lev 3 hosp type b ed visit
G0383,Lev 4 hosp type b ed visit
G0384,Lev 5 hosp type b ed visit
G0396,Alcohol/subs interv 15-30mn
G0397,Alcohol/subs interv >30 min
G0402,Initial preventive exam
G0406,Inpt/tele follow up 15
G0407,Inpt/tele follow up 25
G0408,Inpt/tele follow up 35
G0409,Corf related serv 15 mins ea
G0412,Open tx iliac spine uni/bil
G0413,Pelvic ring fracture uni/bil
G0414,Pelvic ring fx treat int fix
G0415,Open tx post pelvic fxcture
G0425,Inpt/ed teleconsult30
G0426,Inpt/ed teleconsult50
G0427,Inpt/ed teleconsult70
G0428,Collagen meniscus implant
G0429,Dermal filler injection(s)
G0438,"Ppps, initial visit"
G0439,"Ppps, subseq visit"
G0443,Brief alcohol misuse counsel
G0447,Behavior counsel obesity 15m
G0448,Place perm pacing cardiovert
G0455,Fecal microbiota prep instil
G0458,Ldr prostate brachy comp rat
G0459,Telehealth inpt pharm mgmt
G0460,Autologous prp for ulcers
G0463,Hospital outpt clinic visit
G0466,Fqhc visit new patient
G0467,"Fqhc visit, estab pt"
G0468,"Fqhc visit, ippe or awv"
G0469,"Fqhc visit, mh new pt"
G0470,"Fqhc visit, mh estab pt"
G0473,Group behave couns 2-10
G0491,Dialysis acu kidney no esrd
G0492,Md/oth eval acut kid no esrd
G0498,Chemo extend iv infus w/pump
G0508,Crit care telehea consult 60
G0509,Crit care telehea consult 50
G0511,Ccm/bhi by rhc/fqhc 20min mo
G0512,Cocm by rhc/fqhc 60 min mo
G0515,Cognitive skills development
G0516,"Insert drug del implant, >=4"
G0517,Remove drug implant
G0518,Remove w insert drug implant
G6003,Radiation treatment delivery
G6004,Radiation treatment delivery
G6005,Radiation treatment delivery
G6006,Radiation treatment delivery
G6007,Radiation treatment delivery
G6008,Radiation treatment delivery
G6009,Radiation treatment delivery
G6010,Radiation treatment delivery
G6011,Radiation treatment delivery
G6012,Radiation treatment delivery
