hcc,hcc_cat
1,Infectious Diseases
2,Infectious Diseases
3,Infectious Diseases
4,Infectious Diseases
6,Infectious Diseases
8,Neoplasm
9,Neoplasm
10,Neoplasm
11,Neoplasm
12,Neoplasm
13,Neoplasm
18,Other Endocrine Diseases
19,Diabetes
20,Diabetes
21,Diabetes
23,Metabolic
26,Metabolic
27,Metabolic
28,Metabolic
29,Metabolic
30,Metabolic
34,Liver
35,Liver
36,Liver
37,Liver
38,Liver
41,Gastrointestinal
42,Gastrointestinal
45,Gastrointestinal
46,Gastrointestinal
47,Gastrointestinal
48,Gastrointestinal
54,Musculoskeletal
55,Musculoskeletal
56,Musculoskeletal
57,Musculoskeletal
61,Musculoskeletal
62,Congenital malformations
63,Congenital malformations
64,Congenital malformations
66,Blood
67,Blood
68,Blood
69,Blood
70,Blood
71,Blood
73,Blood
74,Blood
75,Blood
81,Psychiatric
82,Psychiatric
87,Psychiatric
88,Psychiatric
89,Psychiatric
90,Psychiatric
94,Psychiatric
96,Congenital malformations
97,Congenital malformations
102,Psychiatric
103,Psychiatric
106,Spinal
107,Spinal
108,Spinal
109,Spinal
110,Spinal
111,Neurological
112,Neurological
113,Neurological
114,Neurological
115,Neurological
117,Neurological
118,Neurological
119,Neurological
120,Neurological
121,Neurological
122,Neurological
125,Respiratory Diseases
126,Respiratory Diseases
127,Respiratory Diseases
128,Respiratory Diseases
129,Heart
130,Heart
131,Heart
132,Heart
135,Heart
137,Heart
138,Heart
139,Heart
142,Heart
145,Cerebrovascular Disease
146,Cerebrovascular Disease
149,Cerebrovascular Disease
150,Nervous System Diseases
151,Nervous System Diseases
153,Vascular
154,Vascular
156,Vascular
158,Lung
159,Lung
160,Lung
161,Lung
162,Lung
163,Lung
183,Kidney
184,Kidney
187,Kidney
188,Kidney
203,Pregnancy
204,Pregnancy
205,Pregnancy
207,Pregnancy
208,Pregnancy
209,Pregnancy
217,Skin
226,Injury
227,Injury
242,Perinatal
243,Perinatal
244,Perinatal
245,Perinatal
246,Perinatal
247,Perinatal
248,Perinatal
249,Perinatal
251,Transplant
253,Openings
254,Amputation
